                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.1906,                0.70179,                 1.1713,                 0.9044,                0.89247,                0.95161,                0.60852,                  1.209,                0.63356,                 1.2881,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.1915,                0.69317,                 1.1674,                0.94772,                0.87562,                0.94726,                0.61239,                 1.2095,                0.61978,                  1.284,                0.00901,                0.00901,                0.00901
                    103,                 1.1874,                0.69594,                 1.1695,                0.90896,                0.91252,                0.95543,                0.62555,                 1.1868,                0.58923,                 1.2715,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.1944,                0.69036,                  1.167,                0.95031,                0.87303,                 0.9391,                0.60439,                    1.2,                0.63291,                 1.2921,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.1866,                0.69309,                 1.1619,                0.96711,                0.86438,                0.94529,                 0.6055,                 1.2214,                0.63164,                 1.2841,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.1873,                0.68987,                 1.1639,                0.92149,                0.91009,                 0.9505,                 0.6268,                 1.1487,                0.61893,                 1.2426,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.1841,                0.68502,                  1.161,                0.91633,                0.88272,                0.93269,                0.59842,                 1.2259,                0.64537,                 1.3001,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.1778,                0.69039,                 1.1569,                0.93645,                0.86606,                0.93852,                0.59152,                 1.2497,                0.63112,                 1.2976,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.1672,                0.67476,                 1.1487,                 0.9399,                0.86392,                0.94123,                 0.6258,                 1.1641,                0.60446,                 1.2559,              0.0089407,              0.0089407,              0.0089407
                    110,                   1.17,                0.68586,                 1.1522,                0.91437,                0.86467,                0.93867,                0.60138,                 1.1994,                0.65991,                 1.2701,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.1774,                0.68199,                 1.1558,                0.89981,                0.89586,                0.94315,                0.61241,                 1.1872,                0.62911,                 1.2889,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.1582,                0.67295,                 1.1445,                0.92939,                0.89971,                0.94689,                 0.6218,                 1.2155,                0.61403,                 1.2922,               0.008911,               0.008911,               0.008911
                    113,                  1.154,                0.67386,                 1.1496,                0.93179,                 0.8803,                0.94716,                0.62376,                 1.1986,                0.60188,                 1.2944,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.1631,                0.67776,                 1.1503,                0.91057,                0.88048,                 0.9474,                0.62214,                 1.1855,                0.60116,                 1.2681,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.1599,                0.67549,                 1.1484,                0.89422,                0.91565,                0.96027,                0.64006,                 1.1313,                0.56967,                 1.2395,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.1634,                 0.6697,                 1.1499,                0.92272,                0.89087,                0.94526,                0.61909,                 1.1671,                0.61587,                 1.2609,              0.0088714,              0.0088714,              0.0088714
                    117,                  1.157,                 0.6746,                 1.1473,                0.93462,                0.89415,                0.95739,                0.61931,                 1.1855,                0.61355,                  1.255,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.1555,                0.67228,                 1.1393,                0.93936,                0.89778,                0.95387,                0.61871,                 1.2046,                0.60021,                 1.2932,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.1501,                0.67056,                 1.1422,                0.93101,                 0.9021,                 0.9523,                0.61477,                 1.1833,                 0.6171,                 1.2703,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.1483,                0.66087,                 1.1426,                0.92317,                0.86861,                0.92989,                0.61269,                 1.1557,                0.62106,                 1.2482,              0.0088318,              0.0088318,              0.0088318
